track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
We Could Be The Same - Brussels,maNga,0.564,0.924,9,-4.542,0,0.0634,0.00839,0,0.0466,0.523,132.985,audio_features,22E0QImA8MZuxadgAHIBet,spotify:track:22E0QImA8MZuxadgAHIBet,https://api.spotify.com/v1/tracks/22E0QImA8MZuxadgAHIBet,https://api.spotify.com/v1/audio-analysis/22E0QImA8MZuxadgAHIBet,183470,4
Fairytale,Alexander Rybak,0.573,0.784,2,-5.359,0,0.0293,0.61,3.89e-05,0.278,0.655,107.991,audio_features,3MnAsEBBsEj86d03RgO4EM,spotify:track:3MnAsEBBsEj86d03RgO4EM,https://api.spotify.com/v1/tracks/3MnAsEBBsEj86d03RgO4EM,https://api.spotify.com/v1/audio-analysis/3MnAsEBBsEj86d03RgO4EM,182600,4
