track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Lets Get Loud (feat. Suntribe),"Moon Taxi, Suntribe",0.742,0.783,0,-3.319,0,0.0423,0.0103,0.305,0.32,0.353,127.971,audio_features,4TmHZ1B5W8ZsnrZuVVFZE4,spotify:track:4TmHZ1B5W8ZsnrZuVVFZE4,https://api.spotify.com/v1/tracks/4TmHZ1B5W8ZsnrZuVVFZE4,https://api.spotify.com/v1/audio-analysis/4TmHZ1B5W8ZsnrZuVVFZE4,228148,4
La Teva Decisió / Get a Life - Main Mix,Susanne Georgi,0.768,0.402,2,-15.591,1,0.0514,0.068,0.000723,0.0973,0.924,132.976,audio_features,4JhfwIE45890EXAyEbpRPj,spotify:track:4JhfwIE45890EXAyEbpRPj,https://api.spotify.com/v1/tracks/4JhfwIE45890EXAyEbpRPj,https://api.spotify.com/v1/audio-analysis/4JhfwIE45890EXAyEbpRPj,177933,4
Barefoot On The Dancefloor,Moon Taxi,0.662,0.793,8,-4.367,1,0.0358,0.17,6.86e-05,0.159,0.595,81.995,audio_features,66RzQvcgc85TDiMjUrsO2l,spotify:track:66RzQvcgc85TDiMjUrsO2l,https://api.spotify.com/v1/tracks/66RzQvcgc85TDiMjUrsO2l,https://api.spotify.com/v1/audio-analysis/66RzQvcgc85TDiMjUrsO2l,168650,4
Calm After The Storm,The Common Linnets,0.694,0.391,6,-11.089,1,0.0303,0.488,0.273,0.123,0.382,116.046,audio_features,6C2GZHFFO8uXuMYCHiW5Y4,spotify:track:6C2GZHFFO8uXuMYCHiW5Y4,https://api.spotify.com/v1/tracks/6C2GZHFFO8uXuMYCHiW5Y4,https://api.spotify.com/v1/audio-analysis/6C2GZHFFO8uXuMYCHiW5Y4,212693,4
Give All Your Love to Me,The Rounder Girls,0.443,0.329,10,-11.955,1,0.0608,0.923,0,0.722,0.542,133.654,audio_features,2rMBHehSTyaC30ZSZToTYo,spotify:track:2rMBHehSTyaC30ZSZToTYo,https://api.spotify.com/v1/tracks/2rMBHehSTyaC30ZSZToTYo,https://api.spotify.com/v1/audio-analysis/2rMBHehSTyaC30ZSZToTYo,247387,4
Apollo - Sped Up,"Nightcore High, Timebelle",0.483,0.611,1,-6.33,1,0.0994,0.117,0,0.111,0.325,103.308,audio_features,1inNWPIdBuMIgKubp53Qm7,spotify:track:1inNWPIdBuMIgKubp53Qm7,https://api.spotify.com/v1/tracks/1inNWPIdBuMIgKubp53Qm7,https://api.spotify.com/v1/audio-analysis/1inNWPIdBuMIgKubp53Qm7,150340,4
Heart of Steel - Eurovision Version,TVORCHI,0.529,0.523,8,-7.837,0,0.0466,0.00738,0,0.0903,0.338,78.088,audio_features,155yInH5aDNEI1MkcX6NNk,spotify:track:155yInH5aDNEI1MkcX6NNk,https://api.spotify.com/v1/tracks/155yInH5aDNEI1MkcX6NNk,https://api.spotify.com/v1/audio-analysis/155yInH5aDNEI1MkcX6NNk,158462,4
Moustache,Twin Twin,0.656,0.894,3,-5.277,0,0.0439,0.00427,3.19e-05,0.0881,0.787,128.0,audio_features,6ILOO5bZA9x6zanAMO0hKr,spotify:track:6ILOO5bZA9x6zanAMO0hKr,https://api.spotify.com/v1/tracks/6ILOO5bZA9x6zanAMO0hKr,https://api.spotify.com/v1/audio-analysis/6ILOO5bZA9x6zanAMO0hKr,169181,4
Lose Control - Radio Edit,Waldo's People,0.556,0.959,7,-4.495,1,0.0572,0.00154,0.232,0.258,0.881,138.011,audio_features,5UTkoeLEHv0zPy6XtKsCZK,spotify:track:5UTkoeLEHv0zPy6XtKsCZK,https://api.spotify.com/v1/tracks/5UTkoeLEHv0zPy6XtKsCZK,https://api.spotify.com/v1/audio-analysis/5UTkoeLEHv0zPy6XtKsCZK,178227,4
Outlaw In 'Em,Waylon,0.502,0.933,4,-3.332,0,0.0772,0.0313,0,0.368,0.684,87.01,audio_features,0m6XwawoTidSRrSCQVnaYf,spotify:track:0m6XwawoTidSRrSCQVnaYf,https://api.spotify.com/v1/tracks/0m6XwawoTidSRrSCQVnaYf,https://api.spotify.com/v1/audio-analysis/0m6XwawoTidSRrSCQVnaYf,216918,4
Lights Off - ESC Version,We Are Domi,0.584,0.766,9,-6.65,0,0.0715,0.176,1.19e-05,0.141,0.576,125.982,audio_features,0tOKpglJb9cza4WdTtxsv7,spotify:track:0tOKpglJb9cza4WdTtxsv7,https://api.spotify.com/v1/tracks/0tOKpglJb9cza4WdTtxsv7,https://api.spotify.com/v1/audio-analysis/0tOKpglJb9cza4WdTtxsv7,179324,4
We Are One,Wild Youth,0.468,0.661,2,-6.566,1,0.0345,0.0598,8.93e-05,0.0876,0.116,112.259,audio_features,2QYVjerrhcF6LuDC3zWbWx,spotify:track:2QYVjerrhcF6LuDC3zWbWx,https://api.spotify.com/v1/tracks/2QYVjerrhcF6LuDC3zWbWx,https://api.spotify.com/v1/audio-analysis/2QYVjerrhcF6LuDC3zWbWx,183431,4
Stones,ZiBBZ,0.378,0.697,9,-5.828,0,0.0449,0.0756,0,0.125,0.712,83.309,audio_features,4nKjnxPIznvlzgLpVQekBF,spotify:track:4nKjnxPIznvlzgLpVQekBF,https://api.spotify.com/v1/tracks/4nKjnxPIznvlzgLpVQekBF,https://api.spotify.com/v1/audio-analysis/4nKjnxPIznvlzgLpVQekBF,179861,4
Loin d’ici - Esc Version,ZOË,0.618,0.705,4,-3.862,0,0.0413,0.497,0,0.122,0.481,143.023,audio_features,3BRBtijNjtOO9MrQnYATgT,spotify:track:3BRBtijNjtOO9MrQnYATgT,https://api.spotify.com/v1/tracks/3BRBtijNjtOO9MrQnYATgT,https://api.spotify.com/v1/audio-analysis/3BRBtijNjtOO9MrQnYATgT,181467,4
