track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Partners in Crime,Gerli Padar,0.678,0.701,4,-6.804,0,0.0381,0.00909,6.34e-05,0.121,0.801,114.99,audio_features,4P5Ig0r3HYzPvJRRVKG6nJ,spotify:track:4P5Ig0r3HYzPvJRRVKG6nJ,https://api.spotify.com/v1/tracks/4P5Ig0r3HYzPvJRRVKG6nJ,https://api.spotify.com/v1/audio-analysis/4P5Ig0r3HYzPvJRRVKG6nJ,178667,4
Run & Hide (Radio Edit),Gracia,0.431,0.772,4,-6.484,1,0.0632,0.0824,0,0.106,0.439,155.776,audio_features,26egMCRkITBhtqGWkt1J8S,spotify:track:26egMCRkITBhtqGWkt1J8S,https://api.spotify.com/v1/tracks/26egMCRkITBhtqGWkt1J8S,https://api.spotify.com/v1/audio-analysis/26egMCRkITBhtqGWkt1J8S,239480,4
Straight Into Love - Denis Goldin Remix,Hannah Mancini,0.548,0.795,2,-4.577,1,0.0453,0.000253,1.1e-06,0.0818,0.107,128.012,audio_features,7BkwOMK3ah65Daw5CHymJB,spotify:track:7BkwOMK3ah65Daw5CHymJB,https://api.spotify.com/v1/tracks/7BkwOMK3ah65Daw5CHymJB,https://api.spotify.com/v1/audio-analysis/7BkwOMK3ah65Daw5CHymJB,396426,4
Je Ne Sais Quoi,Hera Björk,0.529,0.861,3,-4.978,0,0.0712,0.0452,3.46e-06,0.147,0.303,131.966,audio_features,5htZ21M2zhg3WLTib7YQ5r,spotify:track:5htZ21M2zhg3WLTib7YQ5r,https://api.spotify.com/v1/tracks/5htZ21M2zhg3WLTib7YQ5r,https://api.spotify.com/v1/audio-analysis/5htZ21M2zhg3WLTib7YQ5r,180037,4
I Feel Alive,IMRI,0.649,0.665,0,-6.382,0,0.0405,0.289,0,0.0693,0.464,125.03,audio_features,0uvCOD3I7rr86UEQfXXijF,spotify:track:0uvCOD3I7rr86UEQfXXijF,https://api.spotify.com/v1/tracks/0uvCOD3I7rr86UEQfXXijF,https://api.spotify.com/v1/audio-analysis/0uvCOD3I7rr86UEQfXXijF,180480,4
You Are The Only One,Ivan Mikulic,0.598,0.496,8,-8.777,0,0.0296,0.601,0.000294,0.105,0.435,106.827,audio_features,0jZV4MmBoxJRgK7GtbsJpL,spotify:track:0jZV4MmBoxJRgK7GtbsJpL,https://api.spotify.com/v1/tracks/0jZV4MmBoxJRgK7GtbsJpL,https://api.spotify.com/v1/audio-analysis/0jZV4MmBoxJRgK7GtbsJpL,184000,4
Az Én Apám,Pápai Joci,0.697,0.435,2,-7.79,0,0.0437,0.768,4.63e-06,0.0887,0.357,95.946,audio_features,7BxvOHOaRr6v7VDLKKdeYw,spotify:track:7BxvOHOaRr6v7VDLKKdeYw,https://api.spotify.com/v1/tracks/7BxvOHOaRr6v7VDLKKdeYw,https://api.spotify.com/v1/audio-analysis/7BxvOHOaRr6v7VDLKKdeYw,181875,4
Origo - Eurovision Version,Pápai Joci,0.546,0.73,9,-6.303,0,0.219,0.581,0,0.477,0.453,108.212,audio_features,2BbohoCr2keaPLxXycf34T,spotify:track:2BbohoCr2keaPLxXycf34T,https://api.spotify.com/v1/tracks/2BbohoCr2keaPLxXycf34T,https://api.spotify.com/v1/audio-analysis/2BbohoCr2keaPLxXycf34T,181133,4
Believe me,Yulia Savicheva,0.692,0.877,7,-5.478,0,0.0327,0.041,0.0048,0.182,0.891,119.983,audio_features,6hqnl7iERKa2apQ7BVpkeo,spotify:track:6hqnl7iERKa2apQ7BVpkeo,https://api.spotify.com/v1/tracks/6hqnl7iERKa2apQ7BVpkeo,https://api.spotify.com/v1/audio-analysis/6hqnl7iERKa2apQ7BVpkeo,165407,4
High - MGP-version,Knut Anders Sørum,0.525,0.713,1,-8.787,1,0.0282,0.00175,0,0.116,0.315,93.714,audio_features,67M9GPx6rvTO6zjrzVhEzr,spotify:track:67M9GPx6rvTO6zjrzVhEzr,https://api.spotify.com/v1/tracks/67M9GPx6rvTO6zjrzVhEzr,https://api.spotify.com/v1/audio-analysis/67M9GPx6rvTO6zjrzVhEzr,185533,4
Illusion - Eurovision Remix,Krassimir Avramov,0.493,0.906,4,-4.854,0,0.0714,0.00909,0.00117,0.0905,0.443,130.005,audio_features,1iqlGvWyLTVwoRWLZL9YGu,spotify:track:1iqlGvWyLTVwoRWLZL9YGu,https://api.spotify.com/v1/tracks/1iqlGvWyLTVwoRWLZL9YGu,https://api.spotify.com/v1/audio-analysis/1iqlGvWyLTVwoRWLZL9YGu,175636,4
Työlki Ellää - Remix,Kuunkuiskaajat,0.46,0.838,9,-5.328,0,0.0845,0.687,0,0.0913,0.553,115.319,audio_features,7qK2rkQYYkSIVfEWBh2bH8,spotify:track:7qK2rkQYYkSIVfEWBh2bH8,https://api.spotify.com/v1/tracks/7qK2rkQYYkSIVfEWBh2bH8,https://api.spotify.com/v1/audio-analysis/7qK2rkQYYkSIVfEWBh2bH8,186507,4
Addicted to You,Laura Voutilainen,0.792,0.68,2,-8.383,0,0.0503,0.396,0,0.2,0.922,126.092,audio_features,58CGwO3Js1cqOjvLUyg2DS,spotify:track:58CGwO3Js1cqOjvLUyg2DS,https://api.spotify.com/v1/tracks/58CGwO3Js1cqOjvLUyg2DS,https://api.spotify.com/v1/audio-analysis/58CGwO3Js1cqOjvLUyg2DS,187066,4
No Goodbyes - Radio Edit,Linda Wagenmakers,0.645,0.876,10,-6.574,1,0.0402,0.0148,0.000918,0.394,0.657,134.995,audio_features,4OxAOffBcJqxGFn9R5KxYV,spotify:track:4OxAOffBcJqxGFn9R5KxYV,https://api.spotify.com/v1/tracks/4OxAOffBcJqxGFn9R5KxYV,https://api.spotify.com/v1/audio-analysis/4OxAOffBcJqxGFn9R5KxYV,187533,4
Perfect Life,Levina,0.812,0.699,3,-5.882,1,0.0473,0.376,0,0.127,0.52,124.014,audio_features,04yr4MXjMrQZlZlcdqFtgN,spotify:track:04yr4MXjMrQZlZlcdqFtgN,https://api.spotify.com/v1/tracks/04yr4MXjMrQZlZlcdqFtgN,https://api.spotify.com/v1/audio-analysis/04yr4MXjMrQZlZlcdqFtgN,181613,4
Falling Stars - Radio Edit,Lidia Isac,0.626,0.823,8,-6.643,1,0.043,0.0521,0,0.0206,0.294,125.975,audio_features,2AeYptzmExvqayxHlafTBi,spotify:track:2AeYptzmExvqayxHlafTBi,https://api.spotify.com/v1/tracks/2AeYptzmExvqayxHlafTBi,https://api.spotify.com/v1/audio-analysis/2AeYptzmExvqayxHlafTBi,178838,4
Taken By A Stranger - Bonus,Lena,0.783,0.31,0,-8.938,0,0.0503,0.426,0.11,0.108,0.105,160.005,audio_features,5rzY2m5u5Hw75x9rg2ObNW,spotify:track:5rzY2m5u5Hw75x9rg2ObNW,https://api.spotify.com/v1/tracks/5rzY2m5u5Hw75x9rg2ObNW,https://api.spotify.com/v1/audio-analysis/5rzY2m5u5Hw75x9rg2ObNW,204867,3
Mercy,Madame Monsieur,0.654,0.54,4,-7.004,0,0.0477,0.0688,0.000104,0.579,0.169,97.004,audio_features,7FyDoTYFkfZ1DQ9HvvXomL,spotify:track:7FyDoTYFkfZ1DQ9HvvXomL,https://api.spotify.com/v1/tracks/7FyDoTYFkfZ1DQ9HvvXomL,https://api.spotify.com/v1/audio-analysis/7FyDoTYFkfZ1DQ9HvvXomL,239267,4
Zaleilah,Mandinga,0.691,0.819,0,-4.722,1,0.0505,0.0264,0.000641,0.32,0.812,126.989,audio_features,5uGVrWtlkbNcTBLnvfxasI,spotify:track:5uGVrWtlkbNcTBLnvfxasI,https://api.spotify.com/v1/tracks/5uGVrWtlkbNcTBLnvfxasI,https://api.spotify.com/v1/audio-analysis/5uGVrWtlkbNcTBLnvfxasI,218480,4
ZITTI E BUONI,Måneskin,0.625,0.939,4,-3.115,0,0.0669,0.00138,0,0.424,0.644,102.999,audio_features,776AftMmFFAWUIEAb3lHhw,spotify:track:776AftMmFFAWUIEAb3lHhw,https://api.spotify.com/v1/tracks/776AftMmFFAWUIEAb3lHhw,https://api.spotify.com/v1/audio-analysis/776AftMmFFAWUIEAb3lHhw,194787,4
Here for you,Maraaya,0.303,0.798,4,-4.416,0,0.156,0.00646,0,0.374,0.538,74.661,audio_features,0nSVhaAGv9SZWGx3Dnpc2m,spotify:track:0nSVhaAGv9SZWGx3Dnpc2m,https://api.spotify.com/v1/tracks/0nSVhaAGv9SZWGx3Dnpc2m,https://api.spotify.com/v1/audio-analysis/0nSVhaAGv9SZWGx3Dnpc2m,206200,4
Due Vite,Marco Mengoni,0.635,0.541,2,-6.157,1,0.0314,0.4,0,0.0879,0.133,116.938,audio_features,5htUUUBlgHZ9fztWTTDEFm,spotify:track:5htUUUBlgHZ9fztWTTDEFm,https://api.spotify.com/v1/tracks/5htUUUBlgHZ9fztWTTDEFm,https://api.spotify.com/v1/audio-analysis/5htUUUBlgHZ9fztWTTDEFm,225653,4
